implementation,metric,line_count,workers,worker,iteration,latency_ns
gpioctl_zsh,event-delivery,1,1,0,164,5020
gpioctl_zsh,event-roundtrip,1,1,0,165,9560
gpioctl_zsh,event-delivery,1,1,0,165,5000
gpioctl_zsh,event-roundtrip,1,1,0,166,9560
gpioctl_zsh,event-delivery,1,1,0,166,4980
gpioctl_zsh,event-roundtrip,1,1,0,167,9440
gpioctl_zsh,event-delivery,1,1,0,167,4900
gpioctl_zsh,event-roundtrip,1,1,0,168,9560
gpioctl_zsh,event-delivery,1,1,0,168,5020
gpioctl_zsh,event-roundtrip,1,1,0,169,9500
gpioctl_zsh,event-delivery,1,1,0,169,4980
gpioctl_zsh,event-roundtrip,1,1,0,170,9660
gpioctl_zsh,event-delivery,1,1,0,170,5080
gpioctl_zsh,event-roundtrip,1,1,0,171,9500
gpioctl_zsh,event-delivery,1,1,0,171,4960
gpioctl_zsh,event-roundtrip,1,1,0,172,9600
gpioctl_zsh,event-delivery,1,1,0,172,5000
gpioctl_zsh,event-roundtrip,1,1,0,173,9540
gpioctl_zsh,event-delivery,1,1,0,173,5000
gpioctl_zsh,event-roundtrip,1,1,0,174,9600
gpioctl_zsh,event-delivery,1,1,0,174,5080
gpioctl_zsh,event-roundtrip,1,1,0,175,9520
gpioctl_zsh,event-delivery,1,1,0,175,4940
gpioctl_zsh,event-roundtrip,1,1,0,176,9680
gpioctl_zsh,event-delivery,1,1,0,176,5080
gpioctl_zsh,event-roundtrip,1,1,0,177,9680
gpioctl_zsh,event-delivery,1,1,0,177,5080
gpioctl_zsh,event-roundtrip,1,1,0,178,9620
gpioctl_zsh,event-delivery,1,1,0,178,5020
gpioctl_zsh,event-roundtrip,1,1,0,179,9460
gpioctl_zsh,event-delivery,1,1,0,179,4880
gpioctl_zsh,event-roundtrip,1,1,0,180,9720
gpioctl_zsh,event-delivery,1,1,0,180,5040
gpioctl_zsh,event-roundtrip,1,1,0,181,9620
gpioctl_zsh,event-delivery,1,1,0,181,5040
gpioctl_zsh,event-roundtrip,1,1,0,182,9560
gpioctl_zsh,event-delivery,1,1,0,182,4980
gpioctl_zsh,event-roundtrip,1,1,0,183,9400
gpioctl_zsh,event-delivery,1,1,0,183,4880
gpioctl_zsh,event-roundtrip,1,1,0,184,9680
gpioctl_zsh,event-delivery,1,1,0,184,5019
gpioctl_zsh,event-roundtrip,1,1,0,185,9840
